Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Description,Cluster,Category,Population,In Need,Targeted,Affected,Reached,Info
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,3455,360,,,
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,IDP,,4210,1586,,,
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,Male,,15820,1690,,,
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,131133,11206,,,
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,People with disability,,23731,1690,,,
,,SD01002,Um Bada,Gender-Based Violence (GBV),PRO-GBV,total,,138799,13152,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,Adult,,223477,23668,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,Children,,150808,26372,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,Elderly,,22263,3077,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,Female,,183263,26503,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,Host Communities,,2418,872,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,IDP,,4168,837,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,Male,,213285,26613,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,Non-hosting population,,224422,51407,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,People with disability,,,7950,,,
,,SD01002,Um Bada,Mine Action,PRO-MIN,total,,231008,53117,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,Adult,,197208,2151,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,Children,,132985,2516,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,Elderly,,19613,298,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,Female,,161716,2295,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,Host Communities,,4763,344,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,IDP,,3223,660,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,Male,,188089,2670,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,145908,3961,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,People with disability,,52471,745,,,
,,SD01002,Um Bada,Emergency Shelter and Non-Food Items,SHL,total,,153894,4965,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,Adult,,154029,101656,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,Children,,249776,164847,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,Elderly,,12489,8242,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,Female,,212310,140120,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,Host Communities,,7811,4080,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,IDP,,4589,2570,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,Male,,203984,134625,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,647426,268095,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,People with disability,,49955,32969,,,
,,SD01002,Um Bada,"Water, Sanitation and Hygiene",WSH,total,,659826,274745,,,
,,SD01003,Bahri,Final caseload,ALL,Adult,200274,108375,62094,,,
,,SD01003,Bahri,Final caseload,ALL,Children,237738,128648,73710,,,
,,SD01003,Bahri,Final caseload,ALL,Elderly,24514,13265,7600,,,
,,SD01003,Bahri,Final caseload,ALL,Female,232651,125895,72132,,,
,,SD01003,Bahri,Final caseload,ALL,Host Communities,27415,42578,21277,,,
,,SD01003,Bahri,Final caseload,ALL,IDP,25000,36984,17658,,,
,,SD01003,Bahri,Final caseload,ALL,Male,229875,124393,71272,,,
,,SD01003,Bahri,Final caseload,ALL,Non-hosting population,407696,383894,101328,,,
,,SD01003,Bahri,Final caseload,ALL,People with disability,69379,37543,21511,,,
,,SD01003,Bahri,Final caseload,ALL,Refugees,2612,2612,3141,,,
,,SD01003,Bahri,Final caseload,ALL,total,462526,250288,143404,,,
,,SD01003,Bahri,Site Management,CCM,Adult,,9154,1784,,,
,,SD01003,Bahri,Site Management,CCM,Children,,12799,2516,,,
,,SD01003,Bahri,Site Management,CCM,Elderly,,1427,274,,,
,,SD01003,Bahri,Site Management,CCM,Female,,12270,2424,,,
,,SD01003,Bahri,Site Management,CCM,IDP,,11283,4574,,,
,,SD01003,Bahri,Site Management,CCM,Male,,11110,2150,,,
,,SD01003,Bahri,Site Management,CCM,People with disability,,2648,686,,,
,,SD01003,Bahri,Site Management,CCM,total,,11283,4574,,,
,,SD01003,Bahri,Education,EDU,Children,,83011,25949,,,
,,SD01003,Bahri,Education,EDU,Female,,42336,13234,,,
,,SD01003,Bahri,Education,EDU,Host Communities,,5245,2052,,,
,,SD01003,Bahri,Education,EDU,IDP,,4516,2110,,,
,,SD01003,Bahri,Education,EDU,Male,,40675,12715,,,
,,SD01003,Bahri,Education,EDU,Non-hosting population,,72351,21787,,,
,,SD01003,Bahri,Education,EDU,total,,82112,25949,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,Adult,,96602,98219,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,Children,,109776,2068,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,Elderly,,13173,3102,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,Female,,109776,56554,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,Host Communities,,21340,20752,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,IDP,,17793,15152,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,Male,,109776,46835,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,Non-hosting population,,171335,67485,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,People with disability,,32933,2585,,,
,,SD01003,Bahri,Food Security and Livelihoods,FSC,total,,210469,103389,,,
,,SD01003,Bahri,Health,HEA,Adult,,96339,23802,,,
,,SD01003,Bahri,Health,HEA,Children,,67085,28255,,,
,,SD01003,Bahri,Health,HEA,Elderly,,13978,2913,,,
,,SD01003,Bahri,Health,HEA,Female,,83737,28035,,,
,,SD01003,Bahri,Health,HEA,Host Communities,,18075,10564,,,
,,SD01003,Bahri,Health,HEA,IDP,,17552,10157,,,
,,SD01003,Bahri,Health,HEA,Male,,93666,26935,,,
,,SD01003,Bahri,Health,HEA,Non-hosting population,,116714,34249,,,
,,SD01003,Bahri,Health,HEA,People with disability,,34588,8246,,,
,,SD01003,Bahri,Health,HEA,total,,152341,54970,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,Adult,,,5512,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,Children,,,6543,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,Elderly,,,675,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,Female,,,6403,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,Host Communities,,,1423,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,IDP,,,1824,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,Male,,,6327,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,Non-hosting population,,,9483,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,People with disability,,,1910,,,
,,SD01003,Bahri,Multi-Purpose Cash,MPC,total,,,12730,,,
,,SD01003,Bahri,Refugee Response,MS,Adult,,1508,1508,,,
,,SD01003,Bahri,Refugee Response,MS,Children,,1445,1445,,,
,,SD01003,Bahri,Refugee Response,MS,Elderly,,188,188,,,
,,SD01003,Bahri,Refugee Response,MS,Female,,1602,1602,,,
,,SD01003,Bahri,Refugee Response,MS,Male,,1539,1539,,,
,,SD01003,Bahri,Refugee Response,MS,People with disability,,471,471,,,
,,SD01003,Bahri,Refugee Response,MS,total,,3141,3141,,,
,,SD01003,Bahri,Nutrition,NUT,Adult,,2641,3131,,,
,,SD01003,Bahri,Nutrition,NUT,Children,,31463,18545,,,
,,SD01003,Bahri,Nutrition,NUT,Female,,18687,12589,,,
,,SD01003,Bahri,Nutrition,NUT,Host Communities,,2426,1515,,,
,,SD01003,Bahri,Nutrition,NUT,IDP,,2250,1461,,,
,,SD01003,Bahri,Nutrition,NUT,Male,,15417,9087,,,
,,SD01003,Bahri,Nutrition,NUT,Non-hosting population,,30451,18687,,,
,,SD01003,Bahri,Nutrition,NUT,total,,35127,21663,,,
,,SD01003,Bahri,General Protection,PRO,Adult,,59368,10744,,,
,,SD01003,Bahri,General Protection,PRO,Children,,57449,10397,,,
,,SD01003,Bahri,General Protection,PRO,Elderly,,6486,1174,,,
,,SD01003,Bahri,General Protection,PRO,Female,,62036,11227,,,
,,SD01003,Bahri,General Protection,PRO,Host Communities,,4477,1294,,,
,,SD01003,Bahri,General Protection,PRO,IDP,,14278,5087,,,
,,SD01003,Bahri,General Protection,PRO,Male,,61267,11089,,,
,,SD01003,Bahri,General Protection,PRO,Non-hosting population,,64468,15935,,,
,,SD01003,Bahri,General Protection,PRO,People with disability,,18495,3347,,,
,,SD01003,Bahri,General Protection,PRO,total,,83223,22316,,,
,,SD01003,Bahri,Child Protection,PRO-CPN,Adult,,11741,1206,,,
,,SD01003,Bahri,Child Protection,PRO-CPN,Children,,78357,18894,,,
,,SD01003,Bahri,Child Protection,PRO-CPN,Female,,45330,10251,,,
,,SD01003,Bahri,Child Protection,PRO-CPN,Host Communities,,10355,1000,,,
,,SD01003,Bahri,Child Protection,PRO-CPN,IDP,,23611,17600,,,
,,SD01003,Bahri,Child Protection,PRO-CPN,Male,,44768,9849,,,
,,SD01003,Bahri,Child Protection,PRO-CPN,Non-hosting population,,78488,1500,,,
,,SD01003,Bahri,Child Protection,PRO-CPN,People with disability,,13515,3015,,,
,,SD01003,Bahri,Child Protection,PRO-CPN,total,,112454,20100,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,Adult,,57950,13089,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,Children,,57951,13089,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,Elderly,,2366,534,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,Female,,106441,24041,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,9736,1015,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,IDP,,16923,6373,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,Male,,11826,2671,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,34663,2962,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,People with disability,,17741,2671,,,
,,SD01003,Bahri,Gender-Based Violence (GBV),PRO-GBV,total,,61322,10350,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,Adult,,155581,8651,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,Children,,112771,9637,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,Elderly,,22749,1124,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,Female,,138742,9685,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,Host Communities,,6813,2458,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,IDP,,16751,3364,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,Male,,152359,9726,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,Non-hosting population,,59323,13589,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,People with disability,,,2905,,,
,,SD01003,Bahri,Mine Action,PRO-MIN,total,,82887,19411,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,Adult,,45613,15128,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,Children,,31762,17663,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,Elderly,,6618,2093,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,Female,,39646,16466,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,Host Communities,,13420,968,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,IDP,,12954,4422,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,Male,,44347,18418,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,38569,29494,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,People with disability,,12599,5232,,,
,,SD01003,Bahri,Emergency Shelter and Non-Food Items,SHL,total,,64943,34884,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,Adult,,66389,34296,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,Children,,107659,55616,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,Elderly,,5383,2781,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,Female,,91510,47273,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,Host Communities,,22011,11497,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,IDP,,18446,10328,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,Male,,87921,45420,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,171139,70868,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,People with disability,,21532,11123,,,
,,SD01003,Bahri,"Water, Sanitation and Hygiene",WSH,total,,211596,92693,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,Adult,438181,226802,122683,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,Children,520150,269229,145633,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,Elderly,53634,27761,15017,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,Female,509018,263467,142517,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,Host Communities,28723,120916,22292,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,IDP,22798,111729,16102,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,Male,502947,260324,140817,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,Non-hosting population,954519,187434,237234,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,People with disability,151795,78569,42500,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,Refugees,6409,6409,7704,,,
,,SD01004,Sharg An Neel,Final caseload,ALL,total,1011965,523791,283333,,,
,,SD01004,Sharg An Neel,Site Management,CCM,Adult,,6911,1627,,,
,,SD01004,Sharg An Neel,Site Management,CCM,Children,,9663,2294,,,
,,SD01004,Sharg An Neel,Site Management,CCM,Elderly,,1077,250,,,
,,SD01004,Sharg An Neel,Site Management,CCM,Female,,9264,2211,,,
,,SD01004,Sharg An Neel,Site Management,CCM,IDP,,10289,4171,,,
,,SD01004,Sharg An Neel,Site Management,CCM,Male,,8387,1960,,,
,,SD01004,Sharg An Neel,Site Management,CCM,People with disability,,1977,626,,,
,,SD01004,Sharg An Neel,Site Management,CCM,total,,10289,4171,,,
,,SD01004,Sharg An Neel,Education,EDU,Children,,178443,55083,,,
,,SD01004,Sharg An Neel,Education,EDU,Female,,91006,28092,,,
,,SD01004,Sharg An Neel,Education,EDU,Host Communities,,5495,2150,,,
,,SD01004,Sharg An Neel,Education,EDU,IDP,,4118,1924,,,
,,SD01004,Sharg An Neel,Education,EDU,Male,,87437,26990,,,
,,SD01004,Sharg An Neel,Education,EDU,Non-hosting population,,169391,51009,,,
,,SD01004,Sharg An Neel,Education,EDU,total,,179005,55083,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,Adult,,196505,183880,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,Children,,223301,3871,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,Elderly,,26796,5807,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,Female,,223301,105876,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,Host Communities,,22359,21742,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,IDP,,16226,13818,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,Male,,223301,87682,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,Non-hosting population,,401138,157998,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,People with disability,,66990,4839,,,
,,SD01004,Sharg An Neel,Food Security and Livelihoods,FSC,total,,439723,193558,,,
,,SD01004,Sharg An Neel,Health,HEA,Adult,,210568,43523,,,
,,SD01004,Sharg An Neel,Health,HEA,Children,,116841,51665,,,
,,SD01004,Sharg An Neel,Health,HEA,Elderly,,21323,5327,,,
,,SD01004,Sharg An Neel,Health,HEA,Female,,162929,51263,,,
,,SD01004,Sharg An Neel,Health,HEA,Host Communities,,18937,11068,,,
,,SD01004,Sharg An Neel,Health,HEA,IDP,,16006,9263,,,
,,SD01004,Sharg An Neel,Health,HEA,Male,,185803,49253,,,
,,SD01004,Sharg An Neel,Health,HEA,Non-hosting population,,273256,80185,,,
,,SD01004,Sharg An Neel,Health,HEA,People with disability,,104092,15077,,,
,,SD01004,Sharg An Neel,Health,HEA,total,,308200,100516,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,Adult,,,10979,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,Children,,,13033,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,Elderly,,,1344,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,Female,,,12754,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,Host Communities,,,1490,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,IDP,,,1664,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,Male,,,12602,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,Non-hosting population,,,22203,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,People with disability,,,3804,,,
,,SD01004,Sharg An Neel,Multi-Purpose Cash,MPC,total,,,25357,,,
,,SD01004,Sharg An Neel,Refugee Response,MS,Adult,,3698,3698,,,
,,SD01004,Sharg An Neel,Refugee Response,MS,Children,,3544,3544,,,
,,SD01004,Sharg An Neel,Refugee Response,MS,Elderly,,462,462,,,
,,SD01004,Sharg An Neel,Refugee Response,MS,Female,,3929,3929,,,
,,SD01004,Sharg An Neel,Refugee Response,MS,Male,,3775,3775,,,
,,SD01004,Sharg An Neel,Refugee Response,MS,People with disability,,1156,1156,,,
,,SD01004,Sharg An Neel,Refugee Response,MS,total,,7704,7704,,,
,,SD01004,Sharg An Neel,Nutrition,NUT,Adult,,4497,6817,,,
,,SD01004,Sharg An Neel,Nutrition,NUT,Children,,58817,39883,,,
,,SD01004,Sharg An Neel,Nutrition,NUT,Female,,34494,27157,,,
,,SD01004,Sharg An Neel,Nutrition,NUT,Host Communities,,2542,1587,,,
,,SD01004,Sharg An Neel,Nutrition,NUT,IDP,,2052,1333,,,
,,SD01004,Sharg An Neel,Nutrition,NUT,Male,,28820,19543,,,
,,SD01004,Sharg An Neel,Nutrition,NUT,Non-hosting population,,71294,43751,,,
,,SD01004,Sharg An Neel,Nutrition,NUT,total,,75887,46671,,,
,,SD01004,Sharg An Neel,General Protection,PRO,Adult,,89054,20851,,,
,,SD01004,Sharg An Neel,General Protection,PRO,Children,,86176,20176,,,
,,SD01004,Sharg An Neel,General Protection,PRO,Elderly,,9729,2278,,,
,,SD01004,Sharg An Neel,General Protection,PRO,Female,,93056,21787,,,
,,SD01004,Sharg An Neel,General Protection,PRO,Host Communities,,4691,1356,,,
,,SD01004,Sharg An Neel,General Protection,PRO,IDP,,13021,4639,,,
,,SD01004,Sharg An Neel,General Protection,PRO,Male,,91903,21517,,,
,,SD01004,Sharg An Neel,General Protection,PRO,Non-hosting population,,150936,37309,,,
,,SD01004,Sharg An Neel,General Protection,PRO,People with disability,,27744,6496,,,
,,SD01004,Sharg An Neel,General Protection,PRO,total,,168648,43304,,,
,,SD01004,Sharg An Neel,Child Protection,PRO-CPN,Adult,,23607,1626,,,
,,SD01004,Sharg An Neel,Child Protection,PRO-CPN,Children,,145906,25474,,,
,,SD01004,Sharg An Neel,Child Protection,PRO-CPN,Female,,85285,13821,,,
,,SD01004,Sharg An Neel,Child Protection,PRO-CPN,Host Communities,,10847,1000,,,
,,SD01004,Sharg An Neel,Child Protection,PRO-CPN,IDP,,21531,16100,,,
,,SD01004,Sharg An Neel,Child Protection,PRO-CPN,Male,,84228,13279,,,
,,SD01004,Sharg An Neel,Child Protection,PRO-CPN,Non-hosting population,,183761,10000,,,
,,SD01004,Sharg An Neel,Child Protection,PRO-CPN,People with disability,,25427,4065,,,
,,SD01004,Sharg An Neel,Child Protection,PRO-CPN,total,,216139,27100,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,Adult,,57628,7803,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,Children,,57629,7803,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,Elderly,,2352,319,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,Female,,105849,14333,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,Host Communities,,10201,1063,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,IDP,,15432,5812,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,Male,,11760,1592,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,Non-hosting population,,81156,6935,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,People with disability,,17642,1593,,,
,,SD01004,Sharg An Neel,Gender-Based Violence (GBV),PRO-GBV,total,,106788,13810,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,Adult,,249548,16691,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,Children,,140447,18598,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,Elderly,,25547,2170,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,Female,,194311,18690,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,Host Communities,,7138,2575,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,IDP,,15276,3067,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,Male,,221231,18768,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,Non-hosting population,,138891,31815,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,People with disability,,,5606,,,
,,SD01004,Sharg An Neel,Mine Action,PRO-MIN,total,,161304,37458,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,Adult,,109021,12292,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,Children,,60494,14227,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,Elderly,,11040,1691,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,Female,,84356,13180,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,Host Communities,,14060,1015,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,IDP,,11813,2420,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,Male,,96199,15030,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,Non-hosting population,,90300,24775,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,People with disability,,27083,4231,,,
,,SD01004,Sharg An Neel,Emergency Shelter and Non-Food Items,SHL,total,,116173,28210,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,Adult,,88664,69332,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,Children,,143780,112430,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,Elderly,,7189,5621,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,Female,,122213,95565,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,Host Communities,,23061,12046,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,IDP,,16822,9419,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,Male,,117420,91818,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,Non-hosting population,,400679,165919,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,People with disability,,28756,22485,,,
,,SD01004,Sharg An Neel,"Water, Sanitation and Hygiene",WSH,total,,440562,187383,,,
,,SD01005,Karrari,Final caseload,ALL,Adult,516092,268018,142445,,,
